Kód lokace;Èíslo zboí;Èíslo zboí dodavatele;Kód varianty;Popis zboí;Popis varianty;Zásoba;Prodejní jednotka;Jednotková cena;DPH %;Cena vè. DPH;Èárové kódy
01;83470;83470;;ANIMONDA paštika Rafiné Petit - s králíkem pro koèky 85g;;212;KS;17,22;15;19,8;4017721834704
01;83471;83471;;ANIMONDA paštika Rafiné Petit - se srdcem pro koèky  85g;;63;KS;17,22;15;19,8;4017721834711
01;83472;83472;;ANIMONDA paštika Rafiné Petit - s jemnou rybou pro koèky 85g;;83;KS;17,22;15;19,8;4017721834728
01;83480;83480;;ANIMONDA kapsa Rafiné Soupé Adult - krùta+telecí+sır 100g;;161;KS;14,52;15;16,7;4017721834803
01;83481;83481;;ANIMONDA kapsa Rafiné Soupé Adult - drùbe+králík+šunka 100g;;204;KS;14,52;15;16,7;4017721834810
01;83482;83482;;ANIMONDA kapsa Rafiné Soupé Adult - kuøe+kachna+tìstov. 100g;;279;KS;14,52;15;16,7;4017721834827
01;83483;83483;;ANIMONDA kapsa Rafiné Soupé Adult - hovìzí+husa+salám 100g;;337;KS;14,52;15;16,7;4017721834834
01;83489;83489;;ANIMONDA konzerva CARNY Kitten - hovìzí + krùtí srdce 200g;;462;KS;16,87;15;19,4;4017721834896, 4017721835466
01;83490;83490;;ANIMONDA konzerva CARNY Kitten - kuøe, králík 200g;;152;KS;16,87;15;19,4;4017721834902, 4017721835473
01;83491;83491;;ANIMONDA konzerva CARNY Kitten - drùbeí koktejl 200g;;281;KS;16,87;15;19,4;4017721834919, 4017721835480
01;83492;83492;;ANIMONDA konzerva CARNY Kitten - telecí, kuøecí 200g;;144;KS;16,87;15;19,4;4017721834926, 4017721835497
01;83493;83493;;ANIMONDA konzerva CARNY Adult - masovı koktejl 200g;;220;KS;18,17;15;20,9;4017721834933, 4017721835503
01;83494;83494;;ANIMONDA konzerva CARNY Adult - hovìzí, kuøecí 200g;;157;KS;18,17;15;20,9;4017721834940, 4017721835510
01;83495;83495;;ANIMONDA konzerva CARNY Adult - hovìzí, srdce 200g;;307;KS;18,17;15;20,9;4017721834957, 4017721835527
01;83496;83496;;ANIMONDA konzerva CARNY Adult - hovìzí, jehnìèí 200g;;305;KS;18,17;15;20,9;4017721834964, 4017721835534
01;83497;83497;;ANIMONDA konzerva CARNY Adult - kuøe, kachna 200g;;129;KS;18,17;15;20,9;4017721834971, 4017721835541
01;83498;83498;;ANIMONDA konzerva CARNY Adult - hovìzí 200g;;194;KS;18,17;15;20,9;4017721834988, 4017721835558, 4047721834988
01;83499;83499;;ANIMONDA konzerva CARNY Adult - krùta, ráèci 200g;;277;KS;18,17;15;20,9;4017721834995
01;83500;83500;;ANIMONDA konzerva CARNY Adult - krùta, králík 200g;;84;KS;18,17;15;20,9;4017721835008
01;83501;83501;;ANIMONDA konzerva CARNY Senior - kuøe, sır 200g;;218;KS;18,17;15;20,9;4017721835015
01;83502;83502;;ANIMONDA konzerva CARNY Senior - hovìzí + krùtí srdce 200g;;255;KS;18,17;15;20,9;4017721835022
01;83503;83503;;ANIMONDA konzerva CARNY Adult - masovı koktejl 400g;;73;KS;26,26;15;30,2;4017721835039
01;83504;83504;;ANIMONDA konzerva CARNY Adult - hovìzí, kuøecí 400g;;133;KS;26,26;15;30,2;4017721835046
01;83505;83505;;ANIMONDA konzerva CARNY Adult - hovìzí, srdce 400g;;173;KS;26,26;15;30,2;4017721835053
01;83506;83506;;ANIMONDA konzerva CARNY Adult - hovìzí, jehnìèí 400g;;143;KS;26,26;15;30,2;4017721835060
01;83507;83507;;ANIMONDA konzerva CARNY Adult - kuøe, kachna 400g;;145;KS;26,26;15;30,2;4017721835077
01;83508;83508;;ANIMONDA konzerva CARNY Adult - hovìzí 400g;;144;KS;26,26;15;30,2;4017721835084
01;83509;83509;;ANIMONDA konzerva CARNY Adult - krùta, ráèci 400g;;0;KS;26,26;15;30,2;4017721835091
01;83510;83510;;ANIMONDA konzerva CARNY Adult - krùta, králík 400g;;92;KS;26,26;15;30,2;4017721835101, 4017721835107
01;83515;83515;;ANIMONDA granule RAFINÉ CROSS ADULT-kachna,krùta,drùbe 400g;;50;KS;27,22;15;31,3;4017721835152
01;83517;83517;;ANIMONDA granule RAFINÉ CROSS ADULT- kuøe, losos, ráèci 400g;;60;KS;27,22;15;31,3;4017721835176
01;83519;83519;;ANIMONDA granule RAFINÉ CROSS ADULT-hovìzí,jehnì,králik 400g;;90;KS;27,22;15;31,3;4017721835190
01;83530;83530;;ANIMONDA granule RAFINÉ CROSS KITTEN -kuøe,kachna,krùta 400g;;62;KS;27,22;15;31,3;4017721835305
01;83535;83535;;ANIMONDA granule RAFINÉ CROSS SENIOR - kuøe,krùta,jehnì 400g;;40;KS;27,22;15;31,3;4017721835350
01;83539;83539;;ANIMONDA granule RAFINÉ CROSS ADULT-kuøe,kachna,krùta 1,5kg;;0;KS;93,91;15;108;4017721835398
01;83540;83540;;ANIMONDA granule RAFINÉ CROSS ADULT-hovìzí,jehnì,králík1,5kg;;16;KS;93,91;15;108;4017721835404
01;83541;83541;;ANIMONDA granule RAFINÉ CROSS ADULT- kuøe,losos,ráèci 1,5kg;;1;KS;93,91;15;108;4017721835411
01;83542;83542;;ANIMONDA granule RAFINÉ CROSS SENIOR- kuøe,krùta,jehnì 1,5kg;;0;KS;93,91;15;108;4017721835428
01;83750;83750;;ANIMONDA granule Vom Feinsten DeLUXE Kitten 250g;;12;KS;46,52;15;53,5;4017721837507
01;83751;83751;;ANIMONDA granule Vom Feinsten DeLUXE Adult 250g;;12;KS;46,52;15;53,5;4017721837514
01;83752;83752;;ANIMONDA granule Vom Feinsten DeLUXE Senior 250g;;12;KS;46,52;15;53,5;4017721837521
01;83753;83753;;ANIMONDA granule Vom Feinsten DeLUXE kastrát 250g;;10;KS;46,52;15;53,5;4017721837538
01;83754;83754;;ANIMONDA granule Vom Feinsten DeLUXE Kitten 1,75kg;;5;KS;204,43;15;235,1;4017721837545
01;83755;83755;;ANIMONDA granule Vom Feinsten DeLUXE Adult 1,75kg;;5;KS;204,43;15;235,1;4017721837552
01;83756;83756;;ANIMIONDA granule Vom Feinsten DeLUXE Senior 1,75kg;;4;KS;204,43;15;235,1;4017721837569
01;83757;83757;;ANIMONDA granule Vom Feinsten DeLUXE kastrát 1,75kg;;0;KS;204,43;15;235,1;4017721837576
01;83765;83765;;ANIMONDA granule Vom Feinsten DeLUXE Grandis 1,75 kg;;4;KS;204,43;15;235,1;4017721837651, 83765
01;83768;83768;;ANIMONDA granule Vom Feinsten DeLUXE Grandis 250g;;6;KS;46,52;15;53,5;4017721837682, 83768
01;83771;83771;;ANIMONDA granule Vom Feinsten DeLUXE Adult pstruh 1,75kg;;6;KS;204,43;15;235,1;4017721837712
01;86580;86580;;INTEGRA PROTECT Adipositas150g;;0;KS;21,83;15;25,1;4017721865807
01;86581;86581;;INTEGRA PROTECT Niere 150g;;13;KS;21,83;15;25,1;4017721865814
01;86593;86593;;INTEGRA PROTECT Intestinal 150;;3;KS;21,83;15;25,1;4017721865937
01;86640;86640;;INTEGRA PROTECT Adipositas100g;;89;KS;17,22;15;19,8;4017721866408
01;86641;86641;;INTEGRA PROTECT RENAL dieta s kuøecím masem 100g;;25;KS;17,22;15;19,8;4017721866415
